Price,Open,High,Low,Close,Volume
Ticker,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK,BMRI.JK
Date,,,,,
2015-02-16,1804.3170458880704,1811.8982099464238,1781.5735537130108,1785.3641357421875,85716800
2015-02-17,1785.364055144481,1796.7358007186497,1766.4111458542,1773.9923095703125,28532800
2015-02-18,1819.4792895047171,1864.966271742335,1800.526380239043,1808.1075439453125,167238000
2015-02-20,1815.6887464819488,1849.8039838897516,1815.6887464819488,1830.85107421875,74989600
2015-02-23,1804.316949013158,1827.0604399671051,1792.9452035361842,1800.5263671875,118434000
2015-02-24,1789.1546217105263,1811.8981126644737,1785.3640398848684,1800.5263671875,81622800
2015-02-25,1804.3172607421877,1808.1078432227384,1796.736095781086,1804.3172607421875,62958800
2015-02-26,1789.1546217105263,1804.316949013158,1789.1546217105263,1800.5263671875,76328800
2015-02-27,1804.3171630859374,1830.8512390136718,1789.154833984375,1819.4794921875,85468000
2015-03-02,1804.3171630859374,1823.2700744628905,1804.3171630859374,1819.4794921875,96851600
2015-03-03,1834.641920586594,1834.641920586594,1804.3172607421877,1804.3172607421875,57682400
2015-03-04,1800.526299456504,1811.898044505703,1792.9451360903713,1796.7357177734375,47226000
2015-03-05,1792.9454345703125,1815.6889284549254,1789.1548522562105,1792.9454345703125,67612800
2015-03-06,1804.3171870964618,1834.641845703125,1796.736022444796,1834.641845703125,77888400
2015-03-09,1819.4794425317798,1823.270024703721,1781.5736208123676,1789.15478515625,105046000
2015-03-10,1792.945602321823,1830.8514290093879,1781.5738543155535,1823.270263671875,69672800
2015-03-11,1804.316949013158,1823.2698581414472,1796.735785361842,1800.5263671875,98384400
2015-03-12,1796.736095781086,1823.2701731449417,1796.736095781086,1804.3172607421875,45096400
2015-03-13,1815.68900818384,1827.0607556254924,1789.1549308199844,1804.3172607421875,68090000
2015-03-16,1804.3171630859374,1830.8512390136718,1796.735998535156,1819.4794921875,54288000
2015-03-17,1827.0605891791165,1830.851171314343,1808.1076785029845,1815.6888427734375,51684800
2015-03-18,1796.7358653814724,1819.4793573483264,1796.7358653814724,1811.898193359375,54372400
2015-03-19,1834.6417486472208,1849.8040771484375,1819.4794201460043,1849.8040771484375,74428400
2015-03-20,1834.6417486472208,1864.9664056496542,1830.8511665219166,1849.8040771484375,83046000
2015-03-23,1861.1757556829118,1861.1757556829118,1846.013427734375,1846.013427734375,36825600
2015-03-24,1875.0125057623254,1886.586657032463,1859.5803040688083,1863.4383544921875,59234400
2015-03-25,1859.5805851862983,1878.870840219351,1851.8644831730771,1855.7225341796875,59409600
2015-03-26,1855.7223936215473,1875.012647193497,1844.1482414783777,1859.5804443359375,49491600
2015-03-27,1836.4318490128137,1855.7220995276543,1828.7157488068776,1844.14794921875,60455600
2015-03-30,1859.5805290789644,1898.1610379810177,1851.8644272985537,1867.296630859375,75822800
2015-03-31,1902.0188122827687,1925.1671142578125,1890.4446612952468,1925.1671142578125,83456000
2015-04-01,1925.1670133198352,1936.7411637005155,1867.2962614164333,1894.3026123046875,110690000
2015-04-02,1905.8767626853678,1909.7348128122612,1855.722111035753,1894.3026123046875,56737600
2015-04-06,1898.1607347680315,1902.0187850419502,1867.2963325766814,1878.8704833984375,64304400
2015-04-07,1882.7285336723564,1882.7285336723564,1863.4382823027624,1878.8704833984375,95657600
2015-04-08,1882.728606609084,1882.728606609084,1848.0061527986704,1863.4383544921875,113430800
2015-04-09,1863.43853225708,1863.43853225708,1844.1482782999674,1851.8643798828125,62660800
2015-04-10,1855.7224306742348,1859.5804814656574,1848.00632909139,1851.8643798828125,52790800
2015-04-13,1859.5804443359373,1859.5804443359373,1844.1482414783777,1859.5804443359375,80286400
2015-04-14,1836.4319208201475,1851.8641218354428,1817.1416695510284,1828.7158203125,104148800
2015-04-15,1836.4321400495978,1859.5804443359373,1824.8579879064282,1859.5804443359375,47940400
2015-04-16,1867.2965830485025,1867.2965830485025,1848.00632909139,1851.8643798828125,55566800
2015-04-17,1863.43853225708,1863.43853225708,1840.2902275085448,1851.8643798828125,40751200
2015-04-20,1851.8642032220498,1863.4383544921875,1836.4320015285325,1863.4383544921875,44488800
2015-04-21,1867.296228981803,1875.0123291015625,1859.5801288620437,1875.0123291015625,69309200
2015-04-22,1875.0127892127405,1875.0127892127405,1855.7225341796877,1855.7225341796875,44750400
2015-04-23,1848.00632909139,1859.5804814656574,1844.1482782999674,1851.8643798828125,64157200
2015-04-24,1855.7226290662752,1863.4387314740352,1836.4323730468752,1836.432373046875,53536400
2015-04-27,1821.0003016493056,1821.0003016493056,1712.9748600260416,1736.1231689453125,308830800
2015-04-28,1682.1099853515625,1693.6841366269173,1643.5294811003798,1682.1099853515625,279868000
2015-04-29,1682.1101224637146,1689.8262239429057,1597.2330061926095,1628.097412109375,316523200
2015-04-30,1631.9550769894622,1666.6775254360464,1616.5228776798692,1658.96142578125,195589600
2015-05-04,1662.8197756090954,1743.83883660165,1651.2456240387305,1724.548583984375,189657600
2015-05-05,1728.406232600223,1755.4125799846013,1716.8320837212034,1732.2642822265625,153516400
2015-05-06,1701.4002396432977,1759.27099609375,1701.4002396432977,1759.27099609375,128029200
2015-05-07,1716.832482937465,1751.5549376485599,1705.2583313671,1724.548583984375,111124000
2015-05-08,1747.696887125105,1751.5549376485599,1716.832482937465,1724.548583984375,51254800
2015-05-11,1724.5488659805126,1743.8391217521066,1716.832763671875,1716.832763671875,34354800
2015-05-12,1724.5486324335677,1751.554986856465,1716.832531169883,1739.9808349609375,96191200
2015-05-13,1720.690962999132,1743.8392719184028,1720.690962999132,1736.1231689453125,138148400
2015-05-15,1728.40642836758,1732.2644784309005,1685.9678776710546,1689.825927734375,102507600
2015-05-18,1689.8261834221917,1720.6905885988529,1689.8261834221917,1712.9744873046875,106922000
2015-05-19,1712.9741723196846,1732.2644220079694,1705.2580724443708,1728.4063720703125,66192000
2015-05-20,1743.83888559278,1751.554986856465,1724.5486324335677,1739.9808349609375,74743200
2015-05-21,1751.5552120085686,1797.8518255418346,1736.1230074974799,1793.9937744140625,120901600
2015-05-22,1805.5677076210338,1809.4257582783437,1751.5549984186953,1763.129150390625,83152000
2015-05-25,1736.1226308506164,1743.8387314321747,1716.8323793967206,1720.6904296875,100023600
2015-05-26,1720.6908148261937,1743.8391217521066,1716.832763671875,1716.832763671875,88446000
2015-05-27,1697.5422363281248,1728.406640625,1697.5422363281248,1697.542236328125,98622000
2015-05-28,1701.400187174479,1712.9743381076387,1658.9616337528935,1666.677734375,160551600
2015-05-29,1658.9616517954248,1670.5358028544626,1655.1036014424124,1662.8197021484375,158411600
2015-06-01,1666.6779306001754,1670.5359813654534,1635.8135244779498,1651.2457275390625,116245200
2015-06-03,1639.671564328162,1651.245716546949,1612.6652091509923,1628.097412109375,145928400
2015-06-04,1624.2391357421875,1635.813286353177,1604.9488847238717,1624.2391357421875,100190400
2015-06-05,1624.2393904603337,1647.3876953125,1612.6652380342505,1647.3876953125,67930800
2015-06-08,1631.9554022631598,1639.6715034558936,1581.8007445103915,1589.516845703125,97918000
2015-06-09,1558.6523302547896,1558.6523302547896,1496.923525096184,1535.5040283203125,196405200
2015-06-10,1535.5040830201742,1554.7943353194225,1500.781628881527,1523.929931640625,110615600
2015-06-11,1535.504233032542,1543.2203347060724,1485.3495721545946,1493.065673828125,106057200
2015-06-12,1496.9234409524936,1539.361992113518,1493.065390846946,1527.787841796875,108184000
2015-06-15,1512.355740736903,1520.0718414549485,1454.4849853515625,1454.4849853515625,92020000
2015-06-16,1466.0590462410014,1493.0653970928092,1442.9107455108804,1473.775146484375,93402800
2015-06-17,1489.2075133190206,1535.5041199507,1489.2075133190206,1516.2138671875,170708800
2015-06-18,1527.7881313590117,1539.3622838693072,1489.2076229913598,1493.065673828125,116189200
2015-06-19,1527.7880126953123,1550.9363159179686,1520.0719116210937,1543.22021484375,139460400
2015-06-22,1554.7943849491894,1558.6524355321899,1531.6460814511865,1539.3621826171875,51412000
2015-06-23,1543.220299867848,1554.794452116857,1523.9300461195,1550.9364013671875,115338000
2015-06-24,1558.6522426412562,1581.8005432745422,1516.213691480232,1527.787841796875,136800000
2015-06-25,1535.5041137695312,1570.2265686035155,1523.929962158203,1543.22021484375,127306400
2015-06-26,1554.7942933941833,1566.3684444616338,1531.6459912592823,1558.65234375,42988000
2015-06-29,1535.5042167530394,1550.936419936487,1527.7881151613155,1547.078369140625,51673600
